species,order,body_mass_kg,adult_life_expectancy_years,exposure_proxy,cmr,icm,naive_risk,suppression_index,n_postmortem,n_neoplasia
Phoca vitulina,Carnivora,73.5,18.583080082135524,1365.856386036961,0.0,0.0,0.4128662077893528,1.0,20,0
Pithecia pithecia,Primates,1.96,14.034880219028063,27.508365229295002,0.0,0.0,0.010667304843028802,1.0,38,0
Pongo pygmaeus,Primates,79.39,28.66193018480493,2275.4706373716635,0.0909,0.0719,0.5881645040060172,0.8925748862336806,22,2
Potamochoerus porcus,Artiodactyla,74.05,8.747268993839835,647.7352689938398,0.0185,0.0199,0.2231676473693437,0.9260554688594731,54,1
Prionailurus bengalensis,Carnivora,4.39,8.810431211498974,38.67779301848049,0.037,0.014,0.014966079738320315,-1.50025619468343,27,1
Prionailurus viverrinus,Carnivora,10.18,10.203668720054756,103.8733475701574,0.05,0.1082,0.039687769928835714,-0.2666009309834316,20,1
Procavia capensis,Hyracoidea,3.34,5.03668720054757,16.822535249828885,0.0649,0.053,0.006537093784889092,-9.231188446639644,77,5
Procyon lotor,Carnivora,6.68,10.661875427789186,71.22132785763176,0.2,0.1559,0.02738490153981954,-7.036327220621038,55,11
Pseudois nayaur,Artiodactyla,45.35,8.417111567419575,381.71600958247774,0.0,0.0,0.13827452993429912,1.0,34,0
Pteropus giganteus,Chiroptera,0.65,10.190362765229295,6.623735797399042,0.037,0.1466,0.002579045642694955,-13.599675251104145,27,1
Pteropus rodricensis,Chiroptera,0.35,9.9852977412731,3.494854209445585,0.0103,0.0078,0.001361601088566644,-6.598673324467594,97,1
Pteropus vampyrus,Chiroptera,1.15,14.273812457221082,16.41488432580424,0.1667,0.0606,0.00637919046501656,-27.495665498017523,24,4
Pudu puda,Artiodactyla,9.02,5.476386036960986,49.39700205338809,0.0,0.0,0.01907401349203175,1.0,46,0
Puma concolor,Carnivora,50.94,12.00933607118412,611.755579466119,0.1176,0.1191,0.2121940018289764,0.4754380719177871,34,4
Rangifer tarandus,Artiodactyla,107.42,7.489609856262834,804.5338907597536,0.0345,0.0458,0.2692335387485425,0.8880666130657333,87,3
Rousettus aegyptiacus,Chiroptera,0.14,9.62754277891855,1.347855989048597,0.125,0.0672,0.0005253467529907629,-253.110858496506,24,3
Rousettus leschenaultii,Chiroptera,0.09,5.677864476386038,0.5110078028747433,0.0,0.0,0.0001992053203954125,1.0,24,0
Rucervus duvaucelii,Artiodactyla,137.95,8.330102669404518,1149.1376632443532,0.0,0.0,0.36110237278296187,1.0,59,0
Rucervus eldii,Artiodactyla,86.5,8.583271731690623,742.4530047912389,0.0111,0.0078,0.2513308007699466,0.9614380573561443,90,1
