predictor,slope_mean,ci_2_5,ci_97_5
body_mass,-0.08517226461841168,-0.145497197686623,-0.023696003167090016
adult_life_expectancy,0.304197196909787,-0.05565550605482366,0.6944761148914267
exposure_proxy,-0.061669398273086734,-0.11932771911563143,-0.005194108612594389
