postmortem_threshold,n_species,slope_log_mass_log_cmr,r2_log_mass_log_cmr,median_cmr
0,131,-0.08623701134127748,0.05299500975223692,0.0573
20,131,-0.08623701134127748,0.05299500975223692,0.0573
50,61,-0.05399861783785213,0.015676587988368018,0.038
100,32,-0.05312497224987578,0.016247450061626645,0.0245
