Species,Order,Female body mass (kg),Male body mass (kg),Species body mass (kg),Female sexual maturity (days),Male sexual maturity (days),Species sexual maturity (days),Source of sexual maturity,CMR,ICM,Adult life expectancy,Diet (Animal),Diet (Invertebrate),Diet (Vertebrate),Diet (Fish),Diet (Reptile),Diet (Bird),Diet (Mammals),No.individuals,No.dead individuals,No. neoplasia cases,No. individuals with available postmortem pathological records
Rucervus_duvaucelii,Artiodactyla,102.77,173.14,137.95,1028,,,ZIMS,0.0000,0.0000,3042.57,0,0,0,0,0,0,0,361,183,0,59
Rucervus_eldii,Artiodactyla,75.62,97.38,86.50,553,,,ZIMS,0.0111,0.0078,3135.04,0,0,0,0,0,0,0,707,347,1,90
Rusa_alfredi,Artiodactyla,35.42,45.35,40.39,604,,,ZIMS,0.0286,0.0157,2446.06,0,0,0,0,0,0,0,178,107,1,35
Saguinus_bicolor,Primates,0.54,0.50,0.52,547,607,,https://animaldiversity.org/accounts/Saguinus_bicolor/,0.0000,0.0000,3546.76,1,1,1,0,1,0,0,268,111,0,41
Saguinus_imperator,Primates,0.57,0.59,0.58,559,747,,ZIMS,0.0103,0.0032,2758.02,1,1,0,0,0,0,0,855,421,1,97
Saguinus_labiatus,Primates,0.61,0.56,0.59,547,607,,"Mean for closest Sanguinus sp. in AnAge:
- S. oedipus : 548 (f) 550 (m)
- S. midas : 608 (f) 
- S. imperator : 546 (f) 730 (m)
- S. geoffroyi : 548 (f)
- S. mystax : 486 (f) 540 (m)  ",0.0000,0.0000,2551.53,1,1,1,0,1,0,0,210,122,0,32
Saguinus_midas,Primates,0.54,0.53,0.53,631,,,ZIMS,0.0000,0.0000,3145.25,1,1,1,0,1,0,0,387,189,0,25
Saguinus_oedipus,Primates,0.58,0.55,0.57,618,563,,ZIMS,0.0921,0.1746,3538.22,1,1,1,0,1,0,0,1451,683,14,152
Saimiri_boliviensis,Primates,0.78,1.09,0.94,1087,1870,,ZIMS,0.0071,0.0037,4289.56,1,1,0,0,0,0,0,1214,436,1,140
Saimiri_sciureus,Primates,0.76,1.08,0.92,1072,1870,,ZIMS,0.0316,,3961.63,1,1,1,0,0,0,0,1072,413,3,95
Sapajus_apella,Primates,3.10,4.22,3.66,1480,374,,ZIMS,0.0263,,7343.08,1,1,1,0,1,1,1,550,127,1,38
Sciurus_vulgaris,Rodentia,0.39,0.33,0.36,306,312,,ZIMS,0.0357,0.0509,1387.36,0,0,0,0,0,0,0,222,156,1,28
Speothos_venaticus,Carnivora,7.95,7.22,7.59,319,374,,ZIMS,0.0313,0.0170,2546.02,1,0,1,0,0,0,1,289,134,1,32
Suricata_suricatta,Carnivora,1.03,1.05,1.04,364,374,,ZIMS,0.0775,0.1282,2851.01,1,1,1,0,0,0,0,4234,1694,32,413
Syncerus_caffer,Artiodactyla,438.19,444.97,441.58,1506,1714,374,ZIMS,0.0000,0.0000,5026.79,0,0,0,0,0,0,0,305,98,0,22
Tapirus_indicus,Perissodactyla,339.96,316.86,328.41,1095,1095,,https://genomics.senescence.info/species/entry.php?species=Acrocodia_indica,0.2000,0.0897,5722.04,0,0,0,0,0,0,0,204,68,4,20
Tapirus_terrestris,Perissodactyla,224.15,190.47,207.31,867,1121,,ZIMS,0.0238,0.0080,5960.33,0,0,0,0,0,0,0,477,131,1,42
Theropithecus_gelada,Primates,13.65,22.39,18.02,1429,2242,374,ZIMS,0.0000,0.0000,5585.56,0,0,0,0,0,0,0,363,73,0,22
Tragelaphus_angasii,Artiodactyla,59.74,98.29,79.02,463,,,ZIMS,0.0196,0.0102,2412.19,0,0,0,0,0,0,0,683,318,2,102
Tragelaphus_eurycerus,Artiodactyla,209.60,290.41,250.01,840,936,,ZIMS,0.0423,0.0294,2899.29,0,0,0,0,0,0,0,606,321,3,71
Tragelaphus_imberbis,Artiodactyla,63.64,81.76,72.70,613,516,,ZIMS,0.0526,0.0693,2455.95,0,0,0,0,0,0,0,282,154,2,38
Tragelaphus_oryx,Artiodactyla,338.43,407.62,373.02,682,585,,ZIMS,0.0147,0.0068,3094.01,0,0,0,0,0,0,0,1014,476,2,136
Tragelaphus_strepsiceros,Artiodactyla,158.07,228.85,193.46,544,,,ZIMS,0.0336,0.0321,2528.44,0,0,0,0,0,0,0,700,391,4,119
Tragulus_javanicus,Artiodactyla,1.83,1.60,1.71,168,171,,ZIMS,0.0000,,2498.25,0,0,0,0,0,0,0,277,158,0,47
Tupaia_belangeri,Scandentia,0.18,0.20,0.19,121,124,,ZIMS,0.1250,0.0963,1754.06,1,1,0,0,0,0,0,331,212,3,24
Ursus_arctos,Carnivora,202.12,328.99,265.55,1476,1344,374,ZIMS,0.1000,0.0667,6957.18,1,1,1,1,0,0,1,389,125,4,40
Ursus_maritimus,Carnivora,259.36,430.16,344.76,1757,1775,,ZIMS,0.0455,0.0489,7678.25,1,0,1,1,0,0,1,217,74,1,22
Varecia_rubra,Primates,3.84,3.65,3.75,664,623,,ZIMS,0.1852,0.1565,6441.78,0,0,0,0,0,0,0,719,220,10,54
Varecia_variegata,Primates,3.97,3.65,3.81,664,623,,ZIMS,0.0659,0.0742,5743.57,0,0,0,0,0,0,0,972,338,6,91
Vulpes_zerda,Carnivora,1.33,1.40,1.36,290,281,,ZIMS,0.1429,0.1481,3451.83,1,1,1,0,1,1,1,454,164,6,42
Zalophus_californianus,Carnivora,86.95,196.76,141.85,1585,1776,,ZIMS,0.0889,0.1491,5914.62,,,,,,,,561,188,4,45
